description,0,1,2,3,4,5,6,7,8,9
"3058. Indigènes extraterrestres, science-fiction, transformation physique",diamètre,globe,douze,épaules,dame,debout,tours,soleil,nôtre,huit
"3060. Contexte colonial français, pouvoir et conflit militaire.",ajoutant,accueilli,audace,ten,ef,violence,chili,débouchés,tendre,mets
3062. Origine géographique d'espèces végétales ou animales,cles,angle,pêcher,galles,perse,oiseau,apporté,devenu,indiqué,désigné
3069. Populations locales affectées par invasions historiques,population,indigène,noblesse,accroissement,étrangère,immigration,main,chiffre,lation,pulation
3084. Tribunaux indigènes dans contexte colonial juridique,tribunaux,juridictions,jugements,juges,compétence,justiciables,répressifs,magistrats,justice,appel
3094. Plantes originaires avec contexte géographique spécifique,rope,domingue,provence,midi,fruitiers,arbre,cultivé,bambous,brésil,ornement
3123. Compétence légale conseils guerre indigènes non militaires,conseils,guerre,juger,ordinaires,crimes,délits,commis,condamnations,correctionnels,non
"3124. Contexte juridique colonial français, matière civile indigène.",civile,matière,annulation,timbre,statuant,jugements,commerciale,contrainte,greffe,nelle
"3127. ""Corps indigènes militaires en contexte colonial""",corps,infanterie,organi,moissons,1841,régiments,disciplinaires,volontaires,zouaves,officiers
"3140. Animaux domestiques, élevage, pratiques historiques.",mérinos,moutons,mouton,savaient,queue,laine,portaient,cornes,béliers,reproduit
"3194. ""Indigène"" pour plantes originaires, contexte botanique.",arbre,cultivé,europe,asie,midi,antilles,hauteur,malaisie,tropicale,indigène
"3204. Produits locaux naturels, contraste importés.",pavot,extrait,retiré,dose,vigoureusement,décoction,opium,betterave,coton,humidité
"3207. Contexte colonial, autorité sur indigènes.",civiliser,priver,assimilation,indigènes,songé,rapprocher,civilisatrice,hautement,civilisation,satis
3231. « Indigènes en rôles militaires coloniaux spécifiques »,lieutenant,sergent,capitaine,caporal,blessé,tirailleurs,tirailleur,détachement,adjudant,sous
"3234. Origine géographique spécifique, contexte écologique",répandre,départements,sortie,portes,croient,retrouvé,villa,planta,arriver,rique
3236. Indigènes dans la police coloniale française.,police,gendarmerie,malfaiteurs,prisons,agent,affecté,indigène,poursuite,agents,gen
3242. Administration indigène sous contrôle colonial tunisien,française,maintenue,protectorat,tunisienne,tunisien,considérant,administration,juridiction,faculté,contrôle
"3247. Sociétés de prévoyance indigènes, contexte législatif économique",prévoyance,sociétés,mutuels,prêts,coopératives,secours,mutualité,mutuel,assurances,adhérents
"3249. Conscription militaire indigène, France, 1915-1930.",tirage,contrôles,révision,répartition,naissances,1925,recrutement,communaux,recrutés,constatés
3268. Commerce et production régionale spécifique,750,soie,tien,quang,lang,transactions,fui,atelier,hanoi,frontière
3284. Interactions coloniales historiques avec indigènes et mélanges ethniques.,vision,christophe,pagne,luttes,sixième,assurance,anglaises,servitude,rappelant,possession
"3285. Produits locaux, artisanat, économie, commerce, matériaux.",mêle,audience,fabricants,luxe,courtiers,varient,salle,rhum,connues,vendent
3293. Bois indigènes pour menuiserie et construction,bois,chêne,meilleur,dureté,dur,conduits,noyer,lage,id,estimé
3301. Rôle judiciaire des indigènes en contexte colonial,assesseurs,président,greffier,tribunal,assesseur,procureur,juges,suppléants,voix,cour
3343. Organisation militaire indigène sous administration coloniale française,1841,cavalerie,ordonnance,corps,portant,algérie,infanterie,organisation,roi,attribuer
"3385. Sucre produit localement, contexte économique-commercial",sucre,sucres,betterave,raffineries,betteraves,entrepôt,bruts,expédiés,raffiné,indirectes
3410. Interactions légales spécifiques entre indigènes.,débiteur,consentement,enregistrement,actes,passés,obligations,nées,alinéa,entre,timbre
3419. Origine géographique des plantes en botanique.,plante,europe,belgique,celtique,spontané,asie,croît,plantes,midi,arbrisseaux
3434. Origine indigène dans contextes géographiques spécifiques.,khammès,issus,cinquième,i5,vi,indigènes,chapitre,174,iii,437
3471. Distinction hiérarchique coloniale entre Français et indigènes,français,membres,élus,conseillers,tribunaux,assesseurs,adjoints,françaises,artésiens,assistés
"3502. Colonisation française Algérie, interactions culturelles et administratives",alger,algérie,oran,constantine,tlemcen,algériennes,sétif,bône,bougie,sidi
3504. Production locale et transformation économique,cuba,cocotier,culture,essentiellement,enthousiasme,coton,supprimée,portation,velle,semences
"3533. Non-originaire, comparatif, authenticité culturelle",prouver,indigène,monétaire,vertu,vraiment,révèle,importation,croire,notons,divinité
3548. Interactions commerciales pacifiques avec indigènes historiques,relations,comptoirs,trafiquer,commerciales,commerce,échanges,fonder,côtes,traités,commercer
3567. Espèces indigènes à régions géographiques spécifiques,équatoriale,connaît,plante,genre,alsace,boisés,orien,europe,méridionale,espèces
"3581. Éducation indigène, conférences, débats, participants divers.",enseignement,instruction,éducation,primaire,écoles,enseigne,instruire,question,ensei,problème
"3593. Administration coloniale indigène, rôles formels",gouverneur,préfet,gouverneurs,indigène,gouvernement,vinh,visé,royauté,province,fonctionnaire
3594. Interactions culturelles orientales perçues par Européens,constantinople,contribuent,chauds,bazars,tropicaux,bougies,dignité,dose,présidée,zinc
3606. Administration éducative indigène en Algérie coloniale.,enseignement,académie,recteur,professionnel,primaire,enseigne,gnement,ensei,inspecteur,privé
3615. Sucre de betterave produit localement en France,betterave,betteraves,sucre,canne,verrons,inscrire,gomme,indice,fabricant,préoccupations
3631. Plantes indigènes à régions géographiques spécifiques,montagneux,arbre,méridionales,figuier,chère,belgique,europe,travailleur,précautions,commun
3657. Pratiques traditionnelles de ressources naturelles locales,fécule,fontaine,consomment,préparent,pomme,royal,regardent,bouche,froide,eau
3663. Plantes médicinales indigènes substituts exotiques.,quinquina,meilleurs,dose,énergiques,racine,fièvres,remèdes,thérapeutique,possédons,médicaments
3692. Origine naturelle/historique espèces/cultures régionales.,froide,méditerranée,atmosphère,extrémité,tempérées,europe,australe,zone,normandie,garonne
"3709. Législation indigène, réformes, comparaisons juridiques",loi,civil,statut,1882,musulmans,naturalisation,sénatus,état,1873,consulte
3719. Résistance indigène colonisation Amérique souveraineté terres.,civilisation,sauvages,civiliser,destruction,indiens,disparaissent,indépendance,tribus,civilisées,unis
3823. Croisement chevaux indigènes et pur-sang.,jument,étalon,pur,sang,cheval,croisement,léon,selle,aucuns,espagnole
"3861. Contexte botanique/agricole, plantes indigènes, naturalisation.",croître,rustiques,greffes,pêcher,refusent,regarde,employer,arbres,forestier,cultivateur
"3864. « Plantes originaires, descriptions botaniques détaillées »",plante,fleurs,vivace,croît,haies,touffes,feuilles,doubles,espèce,bouquets
3869. Rapports numériques précis en contexte colonial.,000,mille,cents,européens,environ,cent,200,500,carrés,150
"3880. ""Certificat d'études élémentaires indigènes, éducation française""",élémentaires,certificat,études,candidats,cycle,mention,primaires,satisfait,épreuves,examen
3890. Clergé local dans missions catholiques asiatiques,clergé,eglises,évêques,missions,séminaires,apostoliques,séminaire,vicaires,congrégation,orient
3904. Origine géographique naturelle des plantes,plante,vivace,chou,croît,racine,ose,sèches,arbrisseau,feuilles,famille
"3910. Auxiliaires indigènes, contexte militaire administratif colonial.",auxiliaires,gendarmerie,proposés,auxiliaire,réservistes,gendarmes,paye,légion,révocation,arme
3918. Unités militaires coloniales françaises en Afrique du Nord,spahis,escadrons,tirailleurs,zouaves,brigadiers,cavaliers,fantassins,chasseurs,agha,saïd
"3940. Contexte militaire, unités indigènes, organisation.",batail,génie,adi,lon,compagnie,mobile,arrivés,bataillon,milice,occupé
3944. Aspects juridiques et administratifs des indigènes,requis,réparation,payée,commandé,reçues,blessures,déclaration,devenu,tout,amende
3952. Origine géographique naturelle des plantes,genre,arbrisseaux,espèces,tropicale,amérique,europe,arbustes,famille,renfermant,tropicales
"3968. Militaires indigènes, législation pensions et retraites.",militaires,pensions,veuves,pension,orphelins,proportionnelle,coloniales,décret,retraités,ancienneté
"3983. ""Indigène"" qualifiant produit local économique",canaux,allait,devenir,questions,fer,sucre,grand,indigène,429,ensemencées
4001. Contexte juridique administratif indigènes Européens.,européen,indigène,entre,convention,cachet,signé,bail,écrite,regard,privés
"4004. Civilisations précolombiennes, culture, colonisation, Amérique centrale",mexique,espagnols,découverte,colomb,amérique,christophe,indiens,espagne,trouvèrent,conquête
"4020. Contexte légal administratif, obligations fiscales indigènes.",sexe,étranger,individu,payée,suppléants,français,patentes,habitant,communes,municipal
4026. Personnel indigène dans contexte administratif formel,personnel,stagiaires,solde,indigène,réorganisation,soldes,arrêté,cadre,subalterne,congés
4030. Contexte culturel et géographique comparatif spécifique.,possesseur,ambition,élevait,activement,procé,perfectionnement,1910,let,recrutement,orphelinat
"4044. Tabacs locaux français, décisions administratives, classification",tabacs,garonne,savoie,tabac,lot,récolte,départements,classés,achat,fixation
4045. Contexte administratif colonial et gestion indigène.,1831,pays,saura,budgets,occiden,poule,consacrées,accordé,nor,313
4047. Aspects juridiques spécifiques aux indigènes.,croyaient,prononciation,contracter,choisi,voulaient,alinéa,arrêt,demandeur,xii,union
4049. Influence chrétienne sur indigènes en contexte colonial.,civili,éclairé,chrétienne,sation,lumière,cotonnière,avancée,coeur,tenaient,esprit
"4080. Contexte colonial, droits fonciers, comparaison Européens.",indi,ions,gènes,accomplissement,vou,gène,compensation,promptement,équité,128
"4092. Sucres locaux, contexte économique et législatif",sucres,entrepôt,entrepôts,raffineries,bruts,sels,réel,betteraves,expédiés,raffinés
